neighbourhood,neighbourhood_group,neighbourhood_id
Kensington,Brooklyn,0
Midtown,Manhattan,1
Harlem,Manhattan,2
Clinton Hill,Brooklyn,3
East Harlem,Manhattan,4
Murray Hill,Manhattan,5
Bedford-Stuyvesant,Brooklyn,6
Hell's Kitchen,Manhattan,7
Upper West Side,Manhattan,8
Chinatown,Manhattan,9
South Slope,Brooklyn,10
West Village,Manhattan,11
Williamsburg,Brooklyn,12
Fort Greene,Brooklyn,13
Chelsea,Manhattan,14
Crown Heights,Brooklyn,15
Park Slope,Brooklyn,16
Windsor Terrace,Brooklyn,17
Inwood,Manhattan,18
East Village,Manhattan,19
Greenpoint,Brooklyn,20
Bushwick,Brooklyn,21
Flatbush,Brooklyn,22
Lower East Side,Manhattan,23
Prospect-Lefferts Gardens,Brooklyn,24
Long Island City,Queens,25
Kips Bay,Manhattan,26
SoHo,Manhattan,27
Upper East Side,Manhattan,28
Prospect Heights,Brooklyn,29
Washington Heights,Manhattan,30
Woodside,Queens,31
Brooklyn Heights,Brooklyn,32
Carroll Gardens,Brooklyn,33
Gowanus,Brooklyn,34
Flatlands,Brooklyn,35
Cobble Hill,Brooklyn,36
Flushing,Queens,37
Boerum Hill,Brooklyn,38
Sunnyside,Queens,39
DUMBO,Brooklyn,40
St. George,Staten Island,41
Highbridge,Bronx,42
Financial District,Manhattan,43
Ridgewood,Queens,44
Morningside Heights,Manhattan,45
Jamaica,Queens,46
Middle Village,Queens,47
NoHo,Manhattan,48
Ditmars Steinway,Queens,49
Flatiron District,Manhattan,50
Roosevelt Island,Manhattan,51
Greenwich Village,Manhattan,52
Little Italy,Manhattan,53
East Flatbush,Brooklyn,54
Tompkinsville,Staten Island,55
Astoria,Queens,56
Clason Point,Bronx,57
Eastchester,Bronx,58
Kingsbridge,Bronx,59
Two Bridges,Manhattan,60
Queens Village,Queens,61
Rockaway Beach,Queens,62
Forest Hills,Queens,63
Nolita,Manhattan,64
Woodlawn,Bronx,65
University Heights,Bronx,66
Gravesend,Brooklyn,67
Gramercy,Manhattan,68
Allerton,Bronx,69
East New York,Brooklyn,70
Theater District,Manhattan,71
Concourse Village,Bronx,72
Sheepshead Bay,Brooklyn,73
Emerson Hill,Staten Island,74
Fort Hamilton,Brooklyn,75
Bensonhurst,Brooklyn,76
Tribeca,Manhattan,77
Shore Acres,Staten Island,78
Sunset Park,Brooklyn,79
Concourse,Bronx,80
Elmhurst,Queens,81
Brighton Beach,Brooklyn,82
Jackson Heights,Queens,83
Cypress Hills,Brooklyn,84
St. Albans,Queens,85
Arrochar,Staten Island,86
Rego Park,Queens,87
Wakefield,Bronx,88
Clifton,Staten Island,89
Bay Ridge,Brooklyn,90
Graniteville,Staten Island,91
Spuyten Duyvil,Bronx,92
Stapleton,Staten Island,93
Briarwood,Queens,94
Ozone Park,Queens,95
Columbia St,Brooklyn,96
Vinegar Hill,Brooklyn,97
Mott Haven,Bronx,98
Longwood,Bronx,99
Canarsie,Brooklyn,100
Battery Park City,Manhattan,101
Civic Center,Manhattan,102
East Elmhurst,Queens,103
New Springville,Staten Island,104
Morris Heights,Bronx,105
Arverne,Queens,106
Cambria Heights,Queens,107
Tottenville,Staten Island,108
